/award/award_winner/awards_won./award/award_honor/award_winner
length: 2, num: 6
Qualify Rule 1:  [2, 2] :[NSC, SC, HC] [0.75, 0.75, 0.001034126163391934] 2 /media_common/netflix_genre/titles; 2 /media_common/netflix_genre/titles; 
Qualify Rule 2:  [78, 2] :[NSC, SC, HC] [1.0, 1.0, 0.0031023784901758012] 78 /film/film_subject/films; 2 /media_common/netflix_genre/titles; 
Rule 3:  [2, 122] :[NSC, SC, HC] [0.40463065049614111, 0.291005291005291, 0.05687693898655636] 2 /media_common/netflix_genre/titles; 122 /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for; 
Rule 4:  [2, 123] :[NSC, SC, HC] [0.41051454138702459, 0.2879858657243816, 0.05618752154429507] 2 /media_common/netflix_genre/titles; 123 /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for^-1; 
Rule 5:  [137, 2] :[NSC, SC, HC] [0.19047619047619047, 0.19047619047619047, 0.0013788348845225785] 137 /tv/tv_program/genre^-1; 2 /media_common/netflix_genre/titles; 
Rule 6:  [181, 2] :[NSC, SC, HC] [0.26666666666666666, 0.26666666666666666, 0.002757669769045157] 181 /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location^-1; 2 /media_common/netflix_genre/titles; 

Rules number: 4
Qualify Rules number: 2

/award/award_winner/awards_won./award/award_honor/award_winner
length: 3, num: 353
Rule 1:  [151, 7, 3] :[NSC, SC, HC] [0.029088558500323207, 0.010620915032679739, 0.0091164095371669] 151 /base/popstra/celebrity/dated./base/popstra/dated/participant^-1; 7 /award/award_winner/awards_won./award/award_honor/award_winner^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 2:  [7, 151, 3] :[NSC, SC, HC] [0.035629453681710214, 0.026468155500413565, 0.02244039270687237] 7 /award/award_winner/awards_won./award/award_honor/award_winner^-1; 151 /base/popstra/celebrity/dated./base/popstra/dated/participant^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 3:  [86, 150, 3] :[NSC, SC, HC] [0.037193575655114115, 0.03169014084507042, 0.025245441795231416] 86 /base/popstra/celebrity/friendship./base/popstra/friendship/participant; 150 /base/popstra/celebrity/dated./base/popstra/dated/participant; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 4:  [150, 86, 3] :[NSC, SC, HC] [0.033783783783783786, 0.025711662075298437, 0.019635343618513323] 150 /base/popstra/celebrity/dated./base/popstra/dated/participant; 86 /base/popstra/celebrity/friendship./base/popstra/friendship/participant; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 5:  [102, 369, 3] :[NSC, SC, HC] [0.25, 0.25, 0.0070126227208976155] 102 /base/popstra/celebrity/breakup./base/popstra/breakup/participant; 369 /people/person/spouse_s./people/marriage/spouse^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 6:  [369, 102, 3] :[NSC, SC, HC] [0.26190476190476192, 0.2619047619047619, 0.007713884992987377] 369 /people/person/spouse_s./people/marriage/spouse^-1; 102 /base/popstra/celebrity/breakup./base/popstra/breakup/participant; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 7:  [151, 87, 3] :[NSC, SC, HC] [0.035859820700896494, 0.03185840707964602, 0.025245441795231416] 151 /base/popstra/celebrity/dated./base/popstra/dated/participant^-1; 87 /base/popstra/celebrity/friendship./base/popstra/friendship/participant^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 8:  [87, 151, 3] :[NSC, SC, HC] [0.032441200324412001, 0.02707275803722504, 0.02244039270687237] 87 /base/popstra/celebrity/friendship./base/popstra/friendship/participant^-1; 151 /base/popstra/celebrity/dated./base/popstra/dated/participant^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Qualify Rule 9:  [369, 368, 3] :[NSC, SC, HC] [0.84656084656084651, 0.8342857142857143, 0.10238429172510519] 369 /people/person/spouse_s./people/marriage/spouse^-1; 368 /people/person/spouse_s./people/marriage/spouse; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Qualify Rule 10:  [368, 369, 3] :[NSC, SC, HC] [0.81499999999999995, 0.8082901554404145, 0.1093969144460028] 368 /people/person/spouse_s./people/marriage/spouse; 369 /people/person/spouse_s./people/marriage/spouse^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 11:  [150, 7, 3] :[NSC, SC, HC] [0.033602150537634407, 0.011206896551724138, 0.0091164095371669] 150 /base/popstra/celebrity/dated./base/popstra/dated/participant; 7 /award/award_winner/awards_won./award/award_honor/award_winner^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
